NODE_ID,NODE_NAME,parent,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
117786,Undergarments,117753,-0.933987119,424,106,-1.110259434,167,-0.843934911,151,-0.911184211
117792,Consumables,75911,-0.776256411,36634,8863,-0.86294495,16015,-0.683208092,11756,-0.835535672
117795,Cosmetics and Skincare,117792,-0.589936555,3500,870,-0.722820237,1549,-0.50291769,1081,-0.605819529
117798,Accessories,117795,-0.403846154,13,3,-1.75,5,0.8,5,-0.8
117804,Eyes,117795,-0.729872881,342,116,-0.688559322,114,-0.769230769,112,-0.732142857
117809,Face,117795,-0.677801724,228,66,-0.662313433,91,-0.849184783,71,-0.476027397
117817,Fragrances,117795,-0.530078597,777,168,-0.829973118,382,-0.338271605,227,-0.622881356
117823,Lips,117795,-0.717884131,381,105,-0.743243243,162,-0.719126506,114,-0.692708333
117829,Makeup Remover,117795,-0.805555556,36,12,-0.791666667,13,-0.846153846,11,-0.772727273
117835,Nails,117795,-0.467241379,551,117,-0.474409449,260,-0.410185185,174,-0.546448087
117841,Skin Care,117795,-0.542521994,1296,314,-0.731595092,573,-0.457988411,409,-0.518145161
117846,Healthy & Beauty Aids,117792,-0.673073555,8100,2049,-0.759755819,3465,-0.595290554,2586,-0.706799125
117849,Body Care,117846,-0.676011606,3023,737,-0.779017857,1349,-0.628728693,937,-0.661772088
117855,Hair Care,117846,-0.562555001,3268,732,-0.670660622,1456,-0.478711067,1080,-0.600731383
117860,Oral Care,117846,-0.641498316,1436,362,-0.676136364,590,-0.530427632,484,-0.75
117865,Shaving,117846,-0.818227899,1162,363,-0.839873418,462,-0.787344398,337,-0.836025281
117870,Household Chemicals,117792,-0.760633398,4401,1069,-0.817066461,1893,-0.664193303,1439,-0.844226941
117873,Bathroom,117870,-0.981203008,530,103,-0.796116505,260,-0.996183206,167,-1.071856287
117880,Kitchen,117870,-0.765422078,452,131,-0.709259259,178,-0.720670391,143,-0.870777027
117886,Laundry,117870,-0.729891004,1711,413,-0.782664027,709,-0.605949198,589,-0.841438907
117892,Other Chemicals,117870,-0.724187935,840,179,-0.948529412,391,-0.621221662,270,-0.720323741
117898,Tools,117870,-0.710874439,1061,294,-0.799920128,444,-0.577006508,323,-0.810117302
117904,Household Paper,117792,-0.808680634,4249,1020,-0.844040428,1867,-0.729932363,1362,-0.890757415
117907,Bathroom,117904,-0.764461316,2648,628,-0.821333587,1166,-0.673195242,854,-0.847511249
117913,Kitchen,117904,-0.852209104,1985,467,-0.853182752,882,-0.778694111,636,-0.955192308
117922,Infant Consumable Hardlines,117792,-0.776030543,2218,559,-0.93677686,855,-0.557110862,804,-0.892571174
117925,Food & Formula,117922,-0.818053312,1165,321,-0.925,407,-0.642899061,437,-0.898538961
117931,Furniture,117922,-0.724517906,342,80,-0.836764706,157,-0.524700599,105,-0.939189189
117939,Toiletries,117922,-0.659857724,602,143,-0.922089041,242,-0.384036145,217,-0.798011364
117945,Toys,117922,-0.672697368,220,43,-0.936170213,89,-0.351388889,88,-0.854395604
117951,Pet & Supplies,117792,-0.857855179,15872,3750,-0.947358722,7043,-0.76438992,5079,-0.919901586
117954,Accessories,117951,-0.738907149,1172,245,-0.938484252,539,-0.571556351,388,-0.844987624
117960,Food,117951,-0.829336511,13793,3200,-0.909692108,6162,-0.740033475,4431,-0.894214616
117969,Litter,117951,-1.182206713,1523,436,-1.29375,619,-1.074074074,468,-1.220807613
117975,Dry Grocery,75911,-0.692310042,59926,14072,-0.775874647,27434,-0.607370337,18420,-0.752551336
117978,Baking,117975,-0.669250545,3065,756,-0.782629256,1348,-0.615227434,961,-0.655475719
117981,Dry Ingredients,117978,-0.662758997,1738,433,-0.820484581,762,-0.621437423,543,-0.595986038
117986,Mix-Ins,117978,-0.62960688,790,181,-0.70026178,344,-0.603276353,265,-0.613970588
117994,Mixes & Fillings,117978,-0.725439297,613,154,-0.76171875,286,-0.591262976,173,-0.911723164
118002,Beverages,117975,-0.720037726,29359,6844,-0.802988048,13767,-0.62919811,8748,-0.794913448
118005,"Beer, Wine & Spirits",118002,-0.645035234,7156,1525,-0.781507051,3479,-0.528513442,2152,-0.732630009
118011,Coffee & Tea,118002,-0.667102045,8455,1875,-0.74442241,4158,-0.566194933,2422,-0.777232487
118016,Juices & Sport Drinks,118002,-0.756559166,4849,1269,-0.853827663,2054,-0.67657041,1526,-0.782515337
118021,Soft Drinks,118002,-0.794263155,8179,2000,-0.84144677,3744,-0.742754757,2435,-0.833111196
118026,Water,118002,-0.845360452,1666,431,-0.865,736,-0.723238032,499,-1.003452381
118032,Canned Goods,117975,-0.770441971,3693,904,-0.777644231,1615,-0.728641559,1174,-0.822347267
118035,Canned Fruit,118032,-0.817821369,582,139,-0.678321678,273,-0.887184116,170,-0.821927374
118043,Canned Proteins,118032,-0.87202381,367,99,-0.903465347,155,-0.72421875,113,-1.047008547
118051,Canned Vegetables,118032,-0.816585956,407,101,-0.770432692,164,-0.731060606,142,-0.947916667
118057,Soup,118032,-0.737766473,2428,592,-0.771756979,1062,-0.693793783,774,-0.773371532
118062,"Condiments, Sauces & Spices",117975,-0.701003331,8934,2093,-0.716305081,3919,-0.6437228,2922,-0.76653343
118065,Condiments,118062,-0.495479677,1579,403,-0.581674473,701,-0.402228552,475,-0.561
118070,"Jam, Jelly & Preserves",118062,-1.032091751,1725,317,-1.116071429,804,-0.956951146,604,-1.087640224
118075,Peanut Butter,118062,-0.638728324,1006,246,-0.684570313,440,-0.605329241,320,-0.648390719
118081,Salad Dressing,118062,-0.573094223,1032,252,-0.700295276,458,-0.465307203,322,-0.629356061
118089,Spices,118062,-0.663351107,3427,857,-0.637391068,1408,-0.609666667,1162,-0.747578692
118095,Syrups,118062,-0.721326165,526,108,-0.604700855,258,-0.822610294,160,-0.639053254
118101,Grains,117975,-0.667903428,2283,560,-0.730375427,978,-0.619169096,745,-0.685328185
118104,Grains & Rice,118101,-0.674899598,1186,296,-0.762419872,507,-0.649671053,383,-0.640274314
118109,Pasta & Noodles,118101,-0.643713813,1160,282,-0.661512027,497,-0.581739962,381,-0.712658228
118115,Snacks,117975,-0.612247223,16420,3928,-0.7406956,7374,-0.503859294,5118,-0.670346062
118118,Candy,118115,-0.636467302,4663,1279,-0.791387025,1944,-0.522986043,1440,-0.652508361
118124,Chips & Pretzels,118115,-0.646902775,5200,1129,-0.720809008,2453,-0.584677419,1618,-0.689839181
118129,Cookies,118115,-0.404565603,2662,520,-0.705615942,1368,-0.203103329,774,-0.555084746
118134,Crackers,118115,-0.687775695,2139,528,-0.718862007,911,-0.614732143,700,-0.762174211
118139,Fruit & Nuts,118115,-0.603206945,2666,658,-0.72041847,1139,-0.483319605,869,-0.673497268
118147,Pudding & Jello,118115,-0.724953618,515,149,-0.775,206,-0.612903226,160,-0.825617284
118152,Tobacco,117975,-0.923629458,713,229,-0.9958159,289,-0.904626623,195,-0.869345238
118155,Chewing Tobacco,118152,-1.217105263,19,9,-1.347222222,6,-0.333333333,4,-2.25
118161,Cigarettes,118152,-0.920630904,697,222,-0.995689655,284,-0.916254125,191,-0.842536408
118166,Entertainment,75911,-0.479575155,42480,10389,-0.748183705,20107,-0.276832025,11984,-0.579958662
118169,Books & Magazines,118166,-0.446596701,6375,1354,-0.683998022,3215,-0.270359983,1806,-0.575185185
118172,Books,118169,-0.395164638,4868,1014,-0.677345786,2457,-0.177396181,1397,-0.562062937
118177,Periodicals,118169,-0.477948464,1900,388,-0.667073171,990,-0.36039886,522,-0.561261261
118182,Electronics,118166,-0.552004224,21802,5577,-0.793350065,10153,-0.365667159,6072,-0.634909476
118188,Auto Electronics,118182,-0.475247525,100,28,-0.428571429,54,-0.404545455,18,-0.763888889
118194,Cameras & Camcorders,118182,-0.409085052,1733,443,-0.746838521,813,-0.087163677,477,-0.621722846
118199,Computers,118182,-0.652480507,12174,3228,-0.863585545,5518,-0.500455176,3428,-0.692859131
118205,GPS,118182,-0.439864865,168,57,-0.709615385,70,-0.27027027,41,-0.331521739
118210,Home Audio & Theater,118182,-0.468413978,525,145,-0.789161392,225,-0.19012605,155,-0.564429012
118219,TV & Video,118182,-0.313925283,6574,1433,-0.637492119,3362,-0.10472028,1779,-0.437532912
118224,"iPad, Tablets & eReaders",118182,-0.595994475,1186,318,-0.773391813,534,-0.412215412,334,-0.721045198
118229,iPods & MP3 Players,118182,-0.618405963,417,107,-0.748863636,177,-0.408967391,133,-0.788732394
118234,Large Household Goods,118166,-0.469412331,496,127,-0.603383459,218,-0.273230088,151,-0.63515625
118237,Dishwasher,118234,-0.409722222,36,7,-0.714285714,17,-0.617647059,12,0.0625
118243,Laundry,118234,-0.184931507,72,14,-0.416666667,36,0.368055556,22,-0.931818182
118249,Refrigerators,118234,-0.973684211,19,4,-1.125,6,-1,9,-0.888888889
118255,Stove & Oven,118234,-0.499682741,372,102,-0.602803738,162,-0.344117647,108,-0.631410256
118260,Media & Gaming,118166,-0.163461072,9504,1821,-0.5240645,4877,0.047396927,2806,-0.286291653
118263,Blu Ray,118260,-0.410773026,868,201,-0.54244186,382,-0.2303125,285,-0.558501684
118268,CDs,118260,-0.307561437,2436,466,-0.58499053,1266,-0.126209978,704,-0.432978036
